,OrderNo,OrderDate,Month,Year,CustomerID,Revenue,First Touch Channel
211588,300020375784,2021-11-22,11,2021,64f751d9db0da249b20c408f6d8c31f1,19999.0,
582679,300033117595,2022-09-28,9,2022,27ed99ea4b7d2a85c9a7ff049be64298,21999.0,Organic Search
276082,300016633238,2021-05-14,5,2021,294db65b36e3c27e2c6bc5302ea135da,4490.0,
1011278,TC300040096508,2022-12-22,12,2022,f28f81fe1e5369e9931183b4c6de2383,2098.0,Direct
521579,PV9JPDIO4K00,2022-01-26,1,2022,1d937d2bcbcd9f988e54a097243a5dc7,70990.0,
1787964,300046576245,2023-04-27,4,2023,7ffaf8265f6acab01b6f007e9256444e,30.0,
520410,PV9MIB56OO0B,2022-01-26,1,2022,7d7f1aa784fb7cdd11b17e123202b636,799.0,
777158,300031893549,2022-08-19,8,2022,772479dfcd5bb4557ddce48c3c205b28,989.1,Organic Search
383311,TC300037643447,2022-11-27,11,2022,1b0b6a8b698da8019872f6d642370910,899.0,TCP
2095728,300043917471,2023-03-08,3,2023,e5981ec9b5cefce6c8c5783ed4b933dd,3599.0,Direct
1101361,TC300030329237,2022-07-26,7,2022,91462aa8e59179f0888b4d74b93dfde9,2799.0,
722493,TC300026371522,2022-05-28,5,2022,bdff22e6bce08e9aa174f6065eb760c6,399.0,
763757,300025516378,2022-04-29,4,2022,a9e7acdd8d0257afd41098975cb8ddd1,1161.0,Affiliate
566504,300026379432,2022-05-14,5,2022,1461495a966af794d383f0d28fb66854,54990.0,Paid Search
1353380,300022189671,2022-01-27,1,2022,53b0be59d8bae7b9a0a7efab3689d81a,180.0,Paid Social
994394,300037888054,2022-11-12,11,2022,28587c581c488af94825d9c8a55aa165,30.0,Affiliate
770111,TC300032086376,2022-09-03,9,2022,eda496dc31e051b478e5ffb0f020af26,647.19,TCP
1959500,300041555402,2023-01-19,1,2023,069e9cdbece30ea5efbfb1cba34d68fd,2049.0,Paid Social
1303633,TC300033663482,2022-09-21,9,2022,4d068079f822983eaa030577ee12f0ec,39990.0,TCP
889040,TC300029914181,2022-07-25,7,2022,4bc199895e994070ccc4b0f8d347b975,26990.0,
228802,300018010890,2021-07-24,7,2021,113fc3b2d50b0c50b35b733bdeb3b1df,9299.0,
595924,TC300031297617,2022-08-11,8,2022,dde88fb2b1f94ecc5e4f234b9e69a3e6,5124.6,
196808,300017111201,2021-06-11,6,2021,361003185e263fc597b3bc1684eb6f58,33490.0,
1539992,TC300047876238,2023-05-20,5,2023,0908b6ea305523cb11132f11a3c57d0d,199.0,TCP
752319,300037021238,2022-10-28,10,2022,4f4daff929631554de88c4a22307cc47,17005.0,Organic Search
507554,300025791787,2022-05-08,5,2022,b5c79b7c249ad645900d433503bfd70b,141.55,Paid Search
1152129,300025497591,2022-04-28,4,2022,eeb383315316d7a5f9006fc07aad5593,8074.05,Direct
692303,300039621858,2022-12-11,12,2022,bc7dc85e41c8e7ef01b60ba513400599,2599.0,Paid Search
896098,300039119572,2022-12-03,12,2022,a6e85e6f410754b4ede4ffb931fbacc2,17799.0,Paid Search
1766868,300042118210,2023-01-27,1,2023,66a999d4cc5164d20cdc0e5f89e78918,499.0,Organic Search
749616,TC300039896382,2022-12-18,12,2022,02d1318b7329c5040eaafcd9a4c713d6,524.0,TCP
565302,300025683748,2022-05-14,5,2022,7093a39d01238f946f93a154108b9baf,24291.0,
1185668,300027015526,2022-05-24,5,2022,1b84b027e1a0c5b44adbcc901713cc40,64990.0,Paid Search
598808,300031308565,2022-08-11,8,2022,e18c42b3de84895397f96dd4e2ee6092,699.0,Paid Search
101279,SLE024EC1638216,2021-03-21,3,2021,59a8ead91f6e44f4c9b55793bf712921,950.0,
284863,TC300031611757,2022-08-15,8,2022,2d7cec41fa199a71c4a257e7d85d5d1a,9499.05,Direct
896469,300039226486,2022-12-03,12,2022,4cb3b2dbca1137b9b5b990f19364f1db,38899.0,Organic Search
1507056,TC300047126134,2023-05-07,5,2023,ad414ffda00465735635d72ac88b46f5,60990.0,TCP
1555150,TC300048402357,2023-05-27,5,2023,137876c5ecd40e3fae512ebb19ac9acc,10690.0,TCP
1813945,TC300048827188,2023-06-02,6,2023,adf29e445cf25d26724c39f130fd7a6c,8299.0,
1074371,300040135108,2022-12-23,12,2022,b7075d816abdb5f949809bb16016f65b,1999.0,Paid Search
1541179,TC300047879110,2023-05-20,5,2023,edb55032fd7d8ed4a3847ceb69692933,3278.0,TCP
1282309,300023411172,2022-03-16,3,2022,f0cc7ebbe569aa54b51a1c3351fc1ec1,2024.1,Paid Search
62044,300021256497,2021-12-23,12,2021,60f5143e7d7669540f63abc0317d802e,1900.0,
758044,TC300031137380,2022-08-08,8,2022,44506b8ce49c7d665fdb089aae804137,5124.6,
1798699,TC300049921093,2023-06-23,6,2023,e155ae95104b6eb1299ab358896dc5c8,1599.0,
1038199,TC300030435023,2022-07-28,7,2022,3c62b34a36cfbb3ea26625a711d04f1e,1399.0,
85815,TC300020664302,2021-11-26,11,2021,c9bac06000d167b524da0530c885105a,18999.0,
505617,300025328621,2022-04-24,4,2022,6d721d2eb97301f7e3b808616f157dd3,989.1,Organic Search
846630,300025902779,2022-05-06,5,2022,ea5fb341172c88f3e1144f5e0b8917bd,8629.2,Organic Search
744569,300026287790,2022-05-13,5,2022,c35b20a37a24bcb095247f8e8c230383,1290.0,
2009386,300039442270,2023-01-06,1,2023,799e59caefe8705f76a9ac66163d2a97,2299.0,Direct
1432449,300021653077,2022-01-08,1,2022,a8625ae15b31072cf5f649a64b64e73b,1349.0,Direct
433263,TC300035206481,2022-10-25,10,2022,fa098765ad79f9acb98427ab8688d7ac,26991.0,TCP
816846,300032436840,2022-08-31,8,2022,7279b5028912dfcb9db479c85b1b8c5e,1649.0,Direct
1004276,TC300031835362,2022-09-02,9,2022,8a476c4d91a721960157aa99b0909343,18999.0,TCP
910830,TC300029743072,2022-07-15,7,2022,f021aac445d9869e315c7bd1c0fc209e,3986.2,TCP
1871204,300041792763,2023-01-23,1,2023,af7e2c2c63a9f5141a0e0dc503df8024,224.1,Direct
1610288,TC300042532094,2023-02-05,2,2023,a8bac6bdc5830113fce3596612dce7c4,3013.2,TCP
840430,300028150352,2022-07-11,7,2022,3d30283f9edd4b15ccfc61245bfc1204,18999.0,
1040739,TC300029602034,2022-07-13,7,2022,3579c1e6e5c330966cf9785c6c02a663,499.0,TCP
291286,300036683159,2022-10-23,10,2022,3cc35298ed4575c7ab3911671de7db5b,499.0,Paid Search
1176528,300032101463,2022-08-24,8,2022,7d9d331568d0903a192e620726c5f543,52.0,Organic Search
1840552,300040783862,2023-01-02,1,2023,e123c48c6f22ec8e6f1de75d905b0d52,590.0,Paid Social
244021,300017353743,2021-06-19,6,2021,32d570b1dfc5bef58b7e044809d84a99,31999.0,
719938,TC300035155910,2022-10-03,10,2022,a8c359d18bed1077aeeedfbc60c34eca,1699.0,TCP
1139491,300025698303,2022-05-18,5,2022,6ca6594d3e7dbdf5976404b4d89ab061,104.0,
957444,TC300027509691,2022-06-03,6,2022,01b41f31eb95b3e215b5b0192cbe96f7,18590.0,TCP
180981,300018108035,2021-07-28,7,2021,c4350156c6f1a25596201d52b569cc05,74990.0,
38062,TC300020985164,2021-12-31,12,2021,999e28ebd3e950c9b4b333b34b429c64,2992.5,
1547936,TC300046554671,2023-05-13,5,2023,939dfa2bc786c5c26fe988561af8c23b,549.0,TCP
539196,TC300027225366,2022-05-29,5,2022,ac69a34329043d39d625a2b3aa258cf7,67990.0,TCP
1484297,300047972137,2023-05-21,5,2023,ed1a996db274f62f79160e5a4feadfeb,1539.0,Paid Search
1172990,300039395003,2022-12-06,12,2022,f0faca8732e6f3cbd0577722d391aa4d,1349.0,Organic Search
562806,300031777642,2022-08-21,8,2022,d85062ca4d30403092186b05182d8c7f,3599.1,Affiliate
925938,300028574262,2022-06-23,6,2022,454914bdf292819853bbe05c3217698c,531.0,Paid Search
1215675,300038387926,2022-11-21,11,2022,3007f8e89f511328d2280cfba26037c5,38900.0,Paid Search
390114,300024458506,2022-04-03,4,2022,a129005ba9a703e0152a139d12af12b8,2834.1,Paid Search
991572,300025583764,2022-06-06,6,2022,c70ec06c46ffe9554734b8887a15047f,484.38,Paid Search
1960460,300043964592,2023-03-07,3,2023,91ad67a2ec6f1f7163d5f5318fddd331,11564.0,Paid Search
78121,300019929408,2021-10-28,10,2021,d08ba999f0082c8529dce5a9b8012e20,13049.1,
1776104,TC300048962860,2023-06-05,6,2023,04af6dddd0fb09df8c30c3cc91d2a7f6,260.1,
996804,TC300029944319,2022-07-19,7,2022,ff7ca8d972bf1ab4dd65080f6e296d26,5598.0,Direct
1495445,TC300046379950,2023-04-23,4,2023,f66c0458388bb918119c59dd043ce1fa,104.0,Direct
1842690,300040807363,2023-01-02,1,2023,8fd5363856217eec55e49ce20478bc90,1699.0,Paid Search
528107,300033944721,2022-09-24,9,2022,3509a86ed89ae3ff54db3befbe452646,6291.0,Paid Search
1367660,300022137597,2022-01-25,1,2022,97e3318f26a0b284d3cdd0a92dadb831,15748.2,Affiliate
302757,TC300031526776,2022-08-14,8,2022,93cca604151e688672e9998bc2795378,3329.1,TCP
1760020,TC300049031718,2023-06-07,6,2023,fe7ec857d0737649925d492397bf6ba8,9499.0,
145502,300017809277,2021-07-12,7,2021,60be9fe013c814fe25d29f47d2ee0988,5999.0,
118371,300019780378,2021-10-22,10,2021,fb4f961fbacdcb649f53e20edf206096,669.0,
1410914,Q0SFMHHMFO00,2022-01-31,1,2022,2b14d3a357aaf27e69f3beb4952a4727,35799.0,
441656,300030441414,2022-08-06,8,2022,459a11f43db0dd9f2844d7b97d672aad,29502.0,
431511,300036938808,2022-10-25,10,2022,23052e436a73f6842da3584541eefe86,20999.0,Paid Search
2081237,300041442654,2023-01-17,1,2023,2ec4fdc56f3268bca2472f5cf6e00f24,399.0,Organic Search
1445855,300021735731,2022-01-12,1,2022,e515bd57c4c6ae2fa376a893ec0f52db,1899.05,Organic Search
1273727,300022277651,2022-01-30,1,2022,14a5f95ae592daca3408da9e45940679,180.0,Paid Social
1652778,300046149538,2023-04-20,4,2023,b3427cf6b4389a58345da6ca7af6c45e,39999.0,Organic Search
747181,300025937176,2022-05-07,5,2022,2eb31a03853a2298cefac7608d33f001,199.0,Paid Search
